,Storm ID,Name,Date,Year,Status,Max Latitude,Max Longitude,Max Windspeed,Max Pressure,Start Date,End Date,Duration,Landfall,Lf Latitude,Lf Longitude,Lf Windspeed,Nearest City,Storm Category,Category Value
9289,AL042007,DEAN,2007-08-21 06:00:00,2007,HU,18.6N,86.9W,172.617,907,2007-08-14 12:00:00,2007-08-22 18:00:00,8 days 06:00:00.000000000,L,18.7,-87.7,172.617,"calderitas, mx",Category Five,5
9638,AL042008,DOLLY,2008-07-23 12:00:00,2008,HU,25.9N,96.7W,97.8163,967,2008-07-20 12:00:00,2008-07-24 18:00:00,4 days 06:00:00.000000000,L,20.8,-87.0,51.78509999999999,"playa del carmen, mx",Category Two,2
10680,AL042009,CLAUDETTE,2009-08-16 18:00:00,2009,TS,29.1N,85.1W,57.538999999999994,1008,2009-08-16 12:00:00,2009-08-17 06:00:00,0 days 18:00:00.000000000,L,30.4,-86.5,46.0312,"destin, us",Tropical Storm,0
10834,AL042010,COLIN,2010-08-05 21:00:00,2010,TS,25.0N,66.1W,57.538999999999994,1005,2010-08-03 06:00:00,2010-08-07 18:00:00,4 days 12:00:00.000000000,,,,,,Tropical Storm,0
11379,AL042011,DON,2011-07-29 00:00:00,2011,TS,24.6N,91.9W,51.78509999999999,997,2011-07-27 18:00:00,2011-07-30 00:00:00,2 days 06:00:00.000000000,,,,,,Tropical Storm,0
12063,AL042012,DEBBY,2012-06-24 12:00:00,2012,TS,27.6N,86.8W,63.292899999999996,994,2012-06-23 12:00:00,2012-06-26 21:00:00,3 days 09:00:00.000000000,L,29.3,-83.2,40.2773,"gainesville, us",Tropical Storm,0
12690,AL042013,DORIAN,2013-07-25 06:00:00,2013,TS,15.3N,33.9W,57.538999999999994,1002,2013-07-10 12:00:00,2013-07-27 12:00:00,17 days 00:00:00.000000000,,,,,,Tropical Storm,0
12891,AL042014,CRISTOBAL,2014-08-28 18:00:00,2014,HU,37.5N,63.6W,86.3085,971,2014-08-24 06:00:00,2014-08-29 06:00:00,5 days 00:00:00.000000000,,,,,,Category One,1
13112,AL042015,DANNY,2015-08-21 12:00:00,2015,HU,13.8N,47.8W,126.58579999999999,960,2015-08-18 12:00:00,2015-08-24 06:00:00,5 days 18:00:00.000000000,,,,,,Category Three,3
13356,AL042016,DANIELLE,2016-06-20 12:00:00,2016,TS,20.7N,96.1W,46.0312,1007,2016-06-20 06:00:00,2016-06-20 22:00:00,0 days 16:00:00.000000000,L,21.2,-97.4,40.2773,"tamiahua, mx",Tropical Storm,0
31,AL051982,CHRIS,1982-09-11 12:00:00,1982,TS,29.8N,93.8W,63.292899999999996,994,1982-09-10 12:00:00,1982-09-11 18:00:00,1 days 06:00:00.000000000,,,,,,Tropical Storm,0
96,AL051983,CHANTAL,1983-09-11 18:00:00,1983,HU,32.8N,60.0W,74.80069999999999,994,1983-09-11 00:00:00,1983-09-14 18:00:00,3 days 18:00:00.000000000,,,,,,Category One,1
403,AL051985,ELENA,1985-09-01 18:00:00,1985,HU,28.9N,84.8W,126.58579999999999,954,1985-08-28 18:00:00,1985-09-03 00:00:00,5 days 06:00:00.000000000,L,30.4,-89.2,115.07799999999999,"long beach, us",Category Three,3
617,AL051986,CHARLEY,1986-08-18 00:00:00,1986,HU,36.5N,75.8W,80.5546,987,1986-08-15 18:00:00,1986-08-20 18:00:00,5 days 00:00:00.000000000,L,34.7,-76.5,74.80069999999999,"havelock, us",Category One,1
